song,listeners,streams,saves,release_date
"Rotation",0,451856,0,2016-05-09
"Cash (feat. Wooh Da Kid)",0,714351,0,2012-06-08
"Break Her",0,586771,0,2011-08-05
"Goldie Mack (feat. ASAP Rocky)",0,437357,0,2018-03-30
"Grove St. Party (feat. Neon Dreams)",0,409965,0,2022-04-01
"I'm a Hater (feat. Tyler the Creator & D-Bo)",0,409228,0,2018-01-19
"Run Cities",0,406394,0,2017-06-29
"Blue or Red",0,403405,0,2018-03-30
"Mud Musik (feat. Titi Boy aka 2 Chains)",0,676414,0,2011-08-05
"Twistin' Fingers",0,398254,0,2016-05-09
"Mud Musik (feat. 2 Chainz & Titi Boy)",0,392499,0,2022-04-01
"Too Loyal (feat. Slim Dunkin)",0,544587,0,2011-08-05
"Go Shorty Go (feat. Travis Porter)",0,379650,0,2022-04-01
"She Be Putting on (feat. Gucci Mane)",0,375862,0,2022-04-01
"Power of My Pen",0,572811,0,2012-06-08
"Rooster in My Rari - TNGHT Mix",0,627252,0,2012-09-07
"Rich & Flexin'",0,365291,0,2016-05-09
"Pop That Pussy (feat. Chazz Gotti & Diago)",0,539938,0,2013-10-22
"Fell Out",0,496337,0,2013-02-11
"Big Homie Flocka",0,519298,0,2013-10-22
"My Boys",0,345308,0,2016-05-09
"Warning",0,343762,0,2019-04-16
"Alpo",0,477019,0,2013-10-22
"Fell (feat. Gucci Mane & Young Thug)",0,337067,0,2018-01-19
"Hard In Da Paint (feat. Neon Dreams) - Remix",0,332842,0,2022-04-01
"Fuck Yo Clique",0,331643,0,2016-05-09
"Going Off",0,453666,0,2013-10-22
"Real Nigga",0,328132,0,2016-05-09
"Luv da Gun Sound",0,327262,0,2018-04-13
"Where I'm At",0,324559,0,2018-07-27
"In My Business (feat. Rocko)",0,459676,0,2011-08-05
"All These Bitches (feat. DJ Whoo Kid, Future & Howard Stern)",0,318034,0,2022-04-01
"Rock Paper Scissors",0,317931,0,2017-09-08
"Real Nigga No Flex",0,310003,0,2018-02-23
"Rich and Flexxin (feat. Ludacris)",0,565634,0,2012-06-28
"Smoker",0,300747,0,2018-05-31
"Green Light (feat. Frenchie & Sony)",0,402675,0,2013-10-22
"Everything I Love (feat. Future & Trouble)",0,440815,0,2012-06-08
"IT IS WHAT IT IS (feat. Waka Flocka Flame)",0,276871,0,2021-11-05
"Round of Applause (feat. Drake)",0,275374,0,2022-04-01
"Down Bad (feat. J Dubb & Loudiene)",0,265476,0,2018-05-31
"Rowdy (feat. Chazz Gotti)",0,366793,0,2013-10-22
"Frosted Leaf (feat. DJ Whoo Kid, Tony Yayo & Watch The Duck)",0,259515,0,2022-04-01
"Clap - Remix",0,505569,0,2011-07-03
"Cold In The Streets",0,258869,0,2018-03-23
"Murda (feat. Chief Keef & Bo Deal)",0,256893,0,2017-08-29
"Keep It Real",0,256265,0,2018-01-19
"Activist (feat. Ben G)",0,250987,0,2018-02-02
"Haterz",0,250376,0,2016-05-09
"Plane Tickets (feat. French Montana)",0,314471,0,2012-01-02
"Aint Gon Have That (feat. Speedy & BC)",0,247160,0,2018-05-31
